CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR,snv_rodovia,snv_jurisdicao,snv_uf,snv_sequencial,lat_inicio,lon_inicio,lat_fim,lon_fim,lat_meio,lon_meio,extensao_geom_km,tomtom_sucesso,tomtom_currentSpeed,tomtom_freeFlowSpeed,tomtom_currentTravelTime,tomtom_freeFlowTravelTime,tomtom_confidence,tomtom_roadClosure,tomtom_erro
320EDF0050,ENTR. DF-355,ENTR. VC-165,2.9,PAV,TSD,-,-,265,FZ-31,DF-320,E,DF,50,-15.7424003645066,-47.5133102699999,-15.765364823506,-47.4932498409999,-15.75388474770578,-47.50327992390434,3.394795711021498,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
320EDF0060,ENTR. VC-165,FIM DE TRECHO PAVIMENTADO (km. 11.7).1,8,PAV,TSD,-,-,265,FZ-31,DF-320,E,DF,60,-15.765364823506,-47.4932498409999,-15.7691608955059,-47.4832016809999,-15.770041014924256,-47.48894783919261,1.4172933130127414,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
320EDF0070,FIM DE TRECHO PAVIMENTADO (km. 11.7),3.3,6,IMP,-,-,-,101,-,DF-320,E,DF,70,-15.7691608955059,-47.4832016809999,-15.7949237135051,-47.4665680809999,-15.779733048220455,-47.47199363113627,3.591293663023726,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
320EDF0090,ENTR. VC-173,ENTR. VC-409,0.8,IMP,-,-,-,101,-,DF-320,E,DF,90,-15.7949237135051,-47.4665680809999,-15.798433064505,-47.4720910269999,-15.796678389005049,-47.4693295539999,0.7284316466437527,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
320EDF0110,ENTR. VC-409,ENTR. VC-417,2.8,IMP,-,-,-,101,-,DF-320,E,DF,110,-15.798433064505,-47.4720910269999,-15.8170338285045,-47.4537498999999,-15.807733446465429,-47.46292046346002,2.9079574558661827,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
320EDF0130,ENTR. VC-417,ENTR. DF-100/DF-260,8.3,IMP,-,-,-,101,FZ-28,DF-320,E,DF,130,-15.8170338285045,-47.4537498999999,-15.8567395105034,-47.3870832369999,-15.838214544155448,-47.421400154464365,8.89037193896576,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
322EDF0010,ENTR. DF-320,ENTR. VC-409,3.5,IMP,-,-,-,245,DF-355,DF-322,E,DF,10,-15.7529092695063,-47.5223647209999,-15.7824834485055,-47.5184669609999,-15.7676963590059,-47.5204158409999,3.320667570049739,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
322EDF0030,ENTR. VC-409,ENTR. VC-417,8.1,IMP,-,-,-,245,FZ-27/FZ-21,DF-322,E,DF,30,-15.7824834485055,-47.5184669619999,-15.8246111305043,-47.4619754799999,-15.81451004607018,-47.50312009847426,9.432907529625917,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
322EDF0050,ENTR. VC-417,ENTR. DF-260(A),3.8,IMP,-,-,-,245,DF-320,DF-322,E,DF,50,-15.8246111305043,-47.4619754799999,-15.8581372125033,-47.4503786489999,-15.840731703791064,-47.45502960470525,4.011124667579804,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
322EDF0090,ENTR. DF-260(B),ENTR. VC-421,5.0,IMP,-,-,-,262,DF-320,DF-322,E,DF,90,-15.8622368895032,-47.4326729729999,-15.8997446215022,-47.4373172019999,-15.880841289478798,-47.4372577400227,4.266004262110038,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
