CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR
120EDF0070,ENTR. VC-419,ENTR. DF-260(A),2.9,IMP,-,-,-,296,FZ-20 B
120EDF0090,ENTR. DF-260(A),ENTR. DF-125/260(B),0.5,IMP,-,260EDF0030,-,183,-
120EDF0110,ENTR. DF-125/DF- 260(B),ENTR. VC-427,5.9,IMP,-,-,-,144,FZ-11
120EDF0130,ENTR. VC-427,ENTR. DF-270(A),2.1,IMP,-,-,-,144,-
120EDF0150,ENTR. DF-270(A),ENTR. DF-270(B),2.0,IMP,-,270EDF0070,-,531,-
120EDF0170,ENTR. DF-270(B),ENTR. DF-285,15.1,IMP,-,-,-,531,-
125EDF0010,ENTR. DF-120/DF-260,INICIO DE TRECHO PLANEJADO (km. 2.5),2.5,IMP,-,-,-,179,FZ-15
125EDF0030,INICIO DE TRECHO PLANEJADO (km. 2.5),3.5,1.0,PLA,-,-,-,-,-
125EDF0050,FIM DE TRECHO PLANEJADO (km. 3.5),5.5,0,IMP,-,-,-,179,FZ-14
125EDF0070,ENTR. DF-270(A),FIM DO TRECHO PAVIMENTADO (km. 10.0),1.5,PAV,-,270EDF0030,-,910,-
125EDF0080,FIM DO TRECHO PAVIMENTADO (km. 10.0),6.1,6,IMP,-,270EDF0040,-,910,-
125EDF0090,ENTR. DF-270(B),CÓRREGO LAMARÃO,2.7,IMP,-,-,-,378,FZ-13
125EDF0100,CÓRREGO LAMARÃO,ENTR. BR-251(A),5.2,PAV,TSD,-,-,615,FZ-3
125EDF0110,ENTR. BR-251(A),ENTR. BR-251(B),1.2,PAV,TSD,-,251BDF0515,615,-
125EDF0120,ENTR. BR-251(B),FIM DO TRECHO PAVIMENTADO (km. 21.3), 0.6,PAV,-,-,-,124,FZ-2
125EDF0130,FIM DO TRECHO PAVIMENTADO (km. 21.3),2.4,9,IMP,-,-,-,124,FZ-2
128EDF0010,DIVISA GO/DF,ENTR. DF-205,3.4,PAV,TSD,-,-,15.441,DF-15/DF-130
128EDF0030,ENTR. DF-205,ENTR. DF-131,8.4,PAV,TSD,-,-,9.566,DF-15/DF-130
128EDF0050,ENTR. DF-131,ENTR. BR- 010/020/030,2.0,PAV,TSD,-,-,9.907,DF-15/DF-130
128EDF0070,ENTR. BR-010/020/030,ACESSO A PLANALTINA/ 1º DISTRITO RODOVIÁRIO,2.5,PAV,CA,-,-,8.209,DF-15/DF-130
