RODOVIA,SENTIDO,VALOR DO K
463EDF0010,ENTR. DF-001 (EPCT) até SÃO SEBASTIÃO,0.6702127659574468
180EDF0270,ENTR. BR-070(B) até ENTR. DF-190,0.6625
087EDF0010,ENTR. DF-095 (EPCL) até ENTR. DF-085 (EPTG),0.6581632653061225
001EDF0410,ENTR. DF-085 (EPTG)/ TAGUATINGA até ENTR. BR-070/ DF-095 (EPCL),0.65
131EDF0030,ENTR. DF-205 até ENTR. DF-335,0.65
180EDF0190,ENTR. BR-080(B)/ BR-251(B) /DF-445 até ENTR. VC-555,0.6375
180EDF0230,ENTR. VC-561 até ENTR. BR-070(A),0.6375
451EDF0010,ENTR. BR-070 até FIM DO TRECHO DUPLICADO,0.625
451EDF0030,ENTR. VC-561 até ENTR. BR-080/BR-251,0.625
001EDF0330,ACESSO AO RECANTO DAS EMAS até ENTR. BR-060 / ACESSO I A SAMAMBAIA,0.5875
459EDF0010,ACESSO A CEILÂNDIA (VIA DE LIGAÇÃO CENTRO NORTE) até ACESSO A SAMAMBAIA (2ª AVENIDA NORTE),0.5857142857142857
473EDF0010,SÃO SEBASTIÃO até ENTR. BR-251,0.5625
005EDF0010,ENTR. DF-009 (EPPN) até ENTR. DF-006 (EPCA),0.4375
001EDF0150,ENTR. DF-463 até ENTR. DF-465,0.4142857142857143
097EDF0030,DF-010 (EPAA) até ENTR. BR-251/ DF-001 (EPCT),0.35294117647058826
