no,lon,lat,nome,n_pontas
258,-47.4537498999999,-15.8170338285045,ENTR. VC-417,2
259,-47.522364720999896,-15.752909269506299,ENTR. DF-322,3
260,-47.5184669614999,-15.7824834485055,ENTR. VC-409,2
261,-47.4619754799999,-15.8246111305043,ENTR. VC-417,2
262,-47.4373172019999,-15.8997446215022,ENTR. VC-421,2
263,-47.8187318029999,-15.6149020885102,ENTR. DF-335,3
264,-47.8154939179999,-15.62125134251,ENTR. VC-215,2
265,-47.8031948259999,-15.6383223335095,ACESSO A SOBRADINHO,1
266,-47.757814984999904,-15.660247649508932,ENTR. DF-330,3
267,-47.7022883169999,-15.692615327508,ENTR. DF-444,2
268,-47.7632157419999,-15.5913649935109,FIM DE TRECHO IMPLANTADO (km. 7.5).7,1
269,-47.7572319799999,-15.5882321575109,FIM DE TRECHO PLANEJADO (km. 8.5),1
270,-47.7471606099999,-15.5769178225113,2.1,2
271,-47.7269622549999,-15.5814028335112,FIM DE TRECHO PAVIMENTADO (km. 12.5),2
272,-47.5243665749999,-15.5002669945134,ENTR. BR-010(A) / DIVISA GO/DF,1
273,-47.5517625184999,-15.5549277245119,ENTR. VC-111,2
274,-47.571777316,-15.585937961511,ENTR. BR-010(B)/ BR-020/BR-030,2
275,-47.5828866349999,-15.693612170508,ENTR. VC-129,2
276,-47.5432649519999,-15.6691513475087,ENTR. VC-123,2
277,-47.516090178,-15.6694541545086,ENTR. VC-133,2
278,-47.5098255729999,-15.6634224935088,ENTR. VC-127,2
279,-47.5432053349999,-15.8066136235048,ENTR. VC-403,2
280,-47.5537751869999,-15.5817978505111,ENTR. BR-020/BR-030,1
281,-47.5423028479999,-15.5609306990117,ENTR. VC-111,2
282,-47.5364422009999,-15.5546822215119,ENTR. VC-113,2
283,-47.5504955919999,-15.5817904455112,ENTR. BR-020/BR-030,1
284,-47.531867088,-15.6134124645103,ENTR. VC-121,2
285,-47.526646324,-15.6184871375101,ENTR. VC-127,2
